GRUPO,MOTOR,Nombre,Fecha,Falla,Mantenimiento,Tiempo de Reparacion (h),Potencia,Voltaje (V),Corriente (A)
Synthetic group A,SYN-0001,Synthetic motor 0001,2015-08-20,1,0,9.14,45.0,440.0,68.66
Synthetic group A,SYN-0001,Synthetic motor 0001,2016-01-09,0,1,9.58,45.0,440.0,68.66
Synthetic group A,SYN-0001,Synthetic motor 0001,2016-12-12,1,0,9.53,45.0,440.0,68.66
Synthetic group A,SYN-0001,Synthetic motor 0001,2017-03-22,0,1,2.67,45.0,440.0,68.66
Synthetic group A,SYN-0001,Synthetic motor 0001,2018-05-31,1,0,9.28,45.0,440.0,68.66
Synthetic group A,SYN-0001,Synthetic motor 0001,2018-07-15,0,1,2.19,45.0,440.0,68.66
Synthetic group B,SYN-0002,Synthetic motor 0002,2015-03-07,1,0,15.71,11.0,440.0,16.78
Synthetic group B,SYN-0002,Synthetic motor 0002,2015-05-30,0,1,2.98,11.0,440.0,16.78
Synthetic group B,SYN-0002,Synthetic motor 0002,2016-09-11,1,0,7.13,11.0,440.0,16.78
Synthetic group B,SYN-0002,Synthetic motor 0002,2016-11-11,0,1,6.01,11.0,440.0,16.78
Synthetic group B,SYN-0002,Synthetic motor 0002,2017-09-02,1,0,9.53,11.0,440.0,16.78
Synthetic group B,SYN-0002,Synthetic motor 0002,2017-11-28,0,1,6.21,11.0,440.0,16.78
Synthetic group C,SYN-0003,Synthetic motor 0003,2015-05-01,1,0,4.98,45.0,440.0,68.66
Synthetic group C,SYN-0003,Synthetic motor 0003,2015-09-27,0,1,5.73,45.0,440.0,68.66
Synthetic group C,SYN-0003,Synthetic motor 0003,2016-07-07,1,0,5.4,45.0,440.0,68.66
Synthetic group C,SYN-0003,Synthetic motor 0003,2016-08-29,0,1,7.75,45.0,440.0,68.66
Synthetic group C,SYN-0003,Synthetic motor 0003,2017-06-05,1,0,7.08,45.0,440.0,68.66
Synthetic group C,SYN-0003,Synthetic motor 0003,2017-10-29,0,1,4.97,45.0,440.0,68.66
Synthetic group D,SYN-0004,Synthetic motor 0004,2015-06-18,1,0,9.43,15.0,380.0,26.5
Synthetic group D,SYN-0004,Synthetic motor 0004,2015-08-09,0,1,8.42,15.0,380.0,26.5
Synthetic group D,SYN-0004,Synthetic motor 0004,2016-11-15,1,0,4.3,15.0,380.0,26.5
Synthetic group D,SYN-0004,Synthetic motor 0004,2017-04-13,0,1,2.39,15.0,380.0,26.5
Synthetic group D,SYN-0004,Synthetic motor 0004,2018-01-29,1,0,6.76,15.0,380.0,26.5
Synthetic group D,SYN-0004,Synthetic motor 0004,2018-06-06,0,1,2.93,15.0,380.0,26.5
Synthetic group A,SYN-0005,Synthetic motor 0005,2015-07-01,1,0,7.35,7.5,380.0,13.25
Synthetic group A,SYN-0005,Synthetic motor 0005,2015-10-31,0,1,8.22,7.5,380.0,13.25
Synthetic group A,SYN-0005,Synthetic motor 0005,2016-07-26,1,0,3.44,7.5,380.0,13.25
Synthetic group A,SYN-0005,Synthetic motor 0005,2016-11-25,0,1,2.54,7.5,380.0,13.25
Synthetic group A,SYN-0005,Synthetic motor 0005,2018-03-09,1,0,7.39,7.5,380.0,13.25
Synthetic group A,SYN-0005,Synthetic motor 0005,2018-06-28,0,1,8.5,7.5,380.0,13.25
Synthetic group B,SYN-0006,Synthetic motor 0006,2015-05-27,1,0,5.32,7.5,440.0,11.44
Synthetic group B,SYN-0006,Synthetic motor 0006,2015-08-08,0,1,2.49,7.5,440.0,11.44
Synthetic group B,SYN-0006,Synthetic motor 0006,2016-11-04,1,0,3.81,7.5,440.0,11.44
Synthetic group B,SYN-0006,Synthetic motor 0006,2017-01-15,0,1,3.43,7.5,440.0,11.44
Synthetic group B,SYN-0006,Synthetic motor 0006,2017-12-17,1,0,6.45,7.5,440.0,11.44
Synthetic group B,SYN-0006,Synthetic motor 0006,2018-04-01,0,1,1.37,7.5,440.0,11.44
Synthetic group C,SYN-0007,Synthetic motor 0007,2015-09-20,1,0,5.12,30.0,220.0,91.55
Synthetic group C,SYN-0007,Synthetic motor 0007,2015-11-17,0,1,6.91,30.0,220.0,91.55
Synthetic group C,SYN-0007,Synthetic motor 0007,2016-08-08,1,0,3.19,30.0,220.0,91.55
Synthetic group C,SYN-0007,Synthetic motor 0007,2016-12-27,0,1,6.86,30.0,220.0,91.55
Synthetic group C,SYN-0007,Synthetic motor 0007,2017-10-18,1,0,5.33,30.0,220.0,91.55
Synthetic group C,SYN-0007,Synthetic motor 0007,2017-12-02,0,1,1.64,30.0,220.0,91.55
Synthetic group D,SYN-0008,Synthetic motor 0008,2016-02-09,1,0,6.22,11.0,380.0,19.43
Synthetic group D,SYN-0008,Synthetic motor 0008,2016-05-12,0,1,11.07,11.0,380.0,19.43
Synthetic group D,SYN-0008,Synthetic motor 0008,2017-08-12,1,0,4.89,11.0,380.0,19.43
Synthetic group D,SYN-0008,Synthetic motor 0008,2017-11-12,0,1,2.83,11.0,380.0,19.43
Synthetic group D,SYN-0008,Synthetic motor 0008,2019-03-04,1,0,12.05,11.0,380.0,19.43
